timestamp_sec,timestamp_nanosec,marker_id,x,y,z,rigid_id,rx,ry,rz,qx,qy,qz,qw,is_track,source_frame_id,source_timestamp
1786075180,203390463,1,610.6996459960938,104.5276107788086,80.10325622558594,,,,,,,,,,677748,5640
1786075180,203390463,,,,,5,-1495.299072265625,1021.4140625,-775.4828491210938,0.11296573281288147,-0.148900106549263,-0.26944926381111145,0.9447035193443298,1,677748,5640
1786075180,211408377,1,610.81298828125,105.11849212646484,79.59864044189453,,,,,,,,,,677749,5640
1786075180,211408377,,,,,5,-1495.3104248046875,1021.412109375,-775.4805297851562,0.1129772737622261,-0.14880333840847015,-0.26980552077293396,0.9446157217025757,1,677749,5640
1786075180,220708528,1,610.7898559570312,105.10533142089844,79.61347961425781,,,,,,,,,,677750,5640
1786075180,220708528,,,,,5,-1495.302001953125,1021.4110717773438,-775.4993286132812,0.11299697309732437,-0.14877888560295105,-0.26972496509552,0.9446402788162231,1,677750,5640
1786075180,228358401,1,610.8974609375,105.18048858642578,79.41919708251953,,,,,,,,,,677751,5640
1786075180,228358401,,,,,5,-1495.297119140625,1021.4080200195312,-775.4864501953125,0.11290466785430908,-0.14885208010673523,-0.26950740814208984,0.9447017312049866,1,677751,5640
1786075180,237302673,1,610.5881958007812,104.90174865722656,79.79084014892578,,,,,,,,,,677752,5640
1786075180,237302673,,,,,5,-1495.317138671875,1021.3981323242188,-775.5106201171875,0.11304253339767456,-0.14866788685321808,-0.27031803131103516,0.9444827437400818,1,677752,5640
1786075180,245273193,1,610.83740234375,105.11305236816406,79.60909271240234,,,,,,,,,,677753,5640
1786075180,245273193,,,,,5,-1495.3026123046875,1021.4013671875,-775.4811401367188,0.11279455572366714,-0.14916422963142395,-0.2699911296367645,0.9445276260375977,1,677753,5640
1786075180,253808495,1,610.6897583007812,104.3981704711914,80.41144561767578,,,,,,,,,,677754,5640
1786075180,253808495,,,,,5,-1495.3115234375,1021.4057006835938,-775.5037231445312,0.11290980130434036,-0.14890995621681213,-0.26917532086372375,0.9447867274284363,1,677754,5640
1786075180,262310644,1,610.7954711914062,105.23310089111328,79.55288696289062,,,,,,,,,,677755,5640
1786075180,262310644,,,,,5,-1495.3077392578125,1021.4063720703125,-775.4862670898438,0.11293879896402359,-0.14884288609027863,-0.26977598667144775,0.9446224570274353,1,677755,5640
1786075180,270330830,1,610.844482421875,104.53643798828125,80.32386016845703,,,,,,,,,,677756,5640
1786075180,270330830,,,,,5,-1495.3397216796875,1021.3536987304688,-775.4784545898438,0.11270054429769516,-0.14913006126880646,-0.2703937888145447,0.9444290399551392,1,677756,5640
1786075180,278359208,1,610.829833984375,104.06651306152344,80.77609252929688,,,,,,,,,,677757,5640
1786075180,278359208,,,,,5,-1495.340087890625,1021.3558959960938,-775.4602661132812,0.11276458203792572,-0.14887675642967224,-0.27034249901771545,0.9444760084152222,1,677757,5640
1786075180,286125275,1,610.6618041992188,104.97370910644531,79.96894836425781,,,,,,,,,,677758,5640
1786075180,286125275,,,,,5,-1495.311279296875,1021.4306640625,-775.4562377929688,0.11312495172023773,-0.1490146517753601,-0.27009326219558716,0.9444825053215027,1,677758,5640
1786075180,295218318,1,610.8154907226562,105.12408447265625,79.63521575927734,,,,,,,,,,677759,5640
1786075180,295218318,,,,,5,-1495.3228759765625,1021.4005737304688,-775.5020751953125,0.11295626312494278,-0.14893703162670135,-0.27013662457466125,0.9445024728775024,1,677759,5640
1786075180,303169286,1,610.8168334960938,105.08353424072266,79.61666107177734,,,,,,,,,,677760,5640
1786075180,303169286,,,,,5,-1495.34765625,1021.3646850585938,-775.4708862304688,0.11255261301994324,-0.1489458531141281,-0.27013108134269714,0.9445508122444153,1,677760,5640
1786075180,312251577,1,610.779052734375,105.03971099853516,79.70539855957031,,,,,,,,,,677761,5640
1786075180,312251577,,,,,5,-1495.335205078125,1021.3963012695312,-775.4351806640625,0.11284142732620239,-0.14900566637516022,-0.27012354135513306,0.9445090293884277,1,677761,5640
1786075180,320150384,1,610.8696899414062,105.1207275390625,79.61690521240234,,,,,,,,,,677762,5640
1786075180,320150384,,,,,5,-1495.3409423828125,1021.37841796875,-775.4557495117188,0.11280591040849686,-0.14898590743541718,-0.26956743001937866,0.9446752667427063,1,677762,5640
1786075180,328175817,1,610.911865234375,104.76222229003906,79.98818969726562,,,,,,,,,,677763,5640
