timestamp_sec,timestamp_nanosec,x,y,z
1786012551,698768032,-0.18060238028650233,-0.24638855549820365,2.06386661529541
1786012551,772784864,-0.18057663503736038,-0.2463534322914277,2.063572406768799
1786012551,841631808,-0.18060062777359479,-0.24638616461540852,2.0638465881347656
1786012551,902032768,-0.18053638983023323,-0.24629852737581115,2.063112497329712
1786012551,973987136,-0.18048293818655273,-0.2462256054505599,2.0625016689300537
1786012552,38918080,-0.1803889909767583,-0.2460974370550071,2.0614280700683594
1786012552,138143424,-0.18043668436374255,-0.24616250322250294,2.0619730949401855
1786012552,192937632,-0.18049860648647625,-0.24624698108126392,2.062680721282959
1786012552,266824640,-0.1804505792875096,-0.2461814595075214,2.062131881713867
1786012552,342035040,-0.18039191183160422,-0.24610142185966566,2.0614614486694336
1786012552,416914240,-0.18041561248235405,-0.24613375570318063,2.061732292175293
1786012552,481258752,-0.1803549630178032,-0.24605101408073518,2.0610392093658447
1786012552,548437216,-0.1804055146698867,-0.24611997966421828,2.061616897583008
1786012552,625141312,-0.18034261197445473,-0.24603416404960765,2.0608980655670166
1786012552,692126144,-0.180394039882992,-0.24610432507448832,2.061485767364502
1786012552,758690432,-0.1802690064323373,-0.2459337469722125,2.0600569248199463
1786012552,825681120,-0.18034889181237346,-0.24604273137962349,2.060969829559326
1786012552,891213184,-0.18029087111718398,-0.2459635760813707,2.0603067874908447
1786012552,976051456,-0.1802479136876999,-0.2459049709899998,2.0598158836364746
1786012553,83988864,-0.1801815268297017,-0.24581440207268934,2.0590572357177734
1786012553,147459424,-0.18029024521971698,-0.24596272219465817,2.0602996349334717
1786012553,209702112,-0.18029496031396827,-0.24596915480789266,2.0603535175323486
1786012553,272732704,-0.18031765952877093,-0.24600012243266758,2.060612916946411
1786012553,326528160,-0.1802440957131513,-0.24589976228105329,2.059772253036499
1786012553,405966368,-0.18022544396863516,-0.2458743164570195,2.0595591068267822
1786012553,466302464,-0.18022410872070557,-0.24587249483203272,2.0595438480377197
1786012553,530337696,-0.18021661881435067,-0.24586227665437263,2.0594582557678223
1786012553,593315424,-0.1803150724859074,-0.24599659303425572,2.0605833530426025
1786012553,666479808,-0.18032921776866123,-0.24601589087395923,2.0607450008392334
1786012553,714161248,-0.18022663317382243,-0.2458759388417733,2.059572696685791
1786012553,793650976,-0.18029577398067537,-0.24597026486061896,2.0603628158569336
1786012553,849497696,-0.1802186634127428,-0.2458650660176336,2.059481620788574
1786012553,919785248,-0.18012198311734257,-0.24573316898343603,2.0583767890930176
1786012553,990764512,-0.1802853214929767,-0.24595600495251949,2.0602433681488037
1786012554,62316960,-0.1802649589620508,-0.2459282251714714,2.0600106716156006
1786012554,132125440,-0.18028260927061976,-0.24595230477676513,2.0602123737335205
