timestamp_sec,timestamp_nanosec,marker_id,x,y,z,rigid_id,rx,ry,rz,qx,qy,qz,qw,is_track,source_frame_id,source_timestamp
1786071362,660932159,1,-245.48243713378906,107.08084106445312,-417.1940002441406,,,,,,,,,,219616,1823
1786071362,660932159,,,,,5,-1536.7205810546875,1058.326171875,-827.0183715820312,0.03327442705631256,-0.018773581832647324,-0.04484325647354126,0.9982632398605347,1,219616,1823
1786071362,668918647,1,-244.79554748535156,108.15727233886719,-417.4608154296875,,,,,,,,,,219617,1823
1786071362,668918647,,,,,5,-1536.7059326171875,1058.3115234375,-827.0333251953125,0.03348946571350098,-0.01851045899093151,-0.04540012404322624,0.9982357621192932,1,219617,1823
1786071362,677873572,1,-245.1222381591797,109.73408508300781,-417.0557556152344,,,,,,,,,,219618,1823
1786071362,677873572,,,,,5,-1536.727783203125,1058.3306884765625,-827.0745239257812,0.03365660831332207,-0.018675753846764565,-0.045951999723911285,0.998201847076416,1,219618,1823
1786071362,685999445,1,-245.2441864013672,109.19754791259766,-417.5240173339844,,,,,,,,,,219619,1823
1786071362,685999445,,,,,5,-1536.7344970703125,1058.31494140625,-827.0357666015625,0.03335273265838623,-0.01885432004928589,-0.04509250074625015,0.9982478022575378,1,219619,1823
1786071362,693931651,1,-245.30966186523438,109.32361602783203,-417.5662536621094,,,,,,,,,,219620,1823
1786071362,693931651,,,,,5,-1536.71875,1058.317626953125,-827.03857421875,0.03342007100582123,-0.018513338640332222,-0.04527605324983597,0.9982436895370483,1,219620,1823
1786071362,702782044,1,-245.33612060546875,109.29928588867188,-417.52972412109375,,,,,,,,,,219621,1823
1786071362,702782044,,,,,5,-1536.7139892578125,1058.3096923828125,-827.0513916015625,0.03348349779844284,-0.018575068563222885,-0.045452360063791275,0.9982324838638306,1,219621,1823
1786071362,710749296,1,-245.46853637695312,107.03883361816406,-417.2904357910156,,,,,,,,,,219622,1823
1786071362,710749296,,,,,5,-1536.7158203125,1058.3294677734375,-827.0411987304688,0.033507294952869415,-0.018607288599014282,-0.04491817206144333,0.99825519323349,1,219622,1823
1786071362,719758567,1,-245.0579833984375,109.39327239990234,-417.1881408691406,,,,,,,,,,219623,1823
